tau,paired,seed,fano,detection,mean_weight
5,0,28,0.9042251599905542,0.52795,0.7022
5,1,29,0.29902867050801374,0.99835,2.9951
5,0,29,0.9352124356057855,0.5203,0.70335
5,1,30,0.2921102569979324,0.99835,2.99815
5,0,30,0.928046964226903,0.51895,0.6941
6,1,1,0.32055902002319353,0.9984,3.14715
6,0,1,0.9385034694435345,0.58645,0.84425
6,1,2,0.33083225485480994,0.9984,3.1483
6,0,2,0.9151141730258975,0.5905,0.8454
6,1,3,0.3254662844442367,0.99835,3.14465
6,0,3,0.9188818054857883,0.5893,0.84485
6,1,4,0.32512603915326976,0.99845,3.1361
6,0,4,0.9281722544497333,0.5913,0.84975
6,1,5,0.32509462236106534,0.9983,3.13685
6,0,5,0.9303035559401052,0.5915,0.85005
6,1,6,0.3224417114585532,0.99855,3.14105
6,0,6,0.9269958274741847,0.5874,0.8424
6,1,7,0.32854519198977133,0.9989,3.1483
6,0,7,0.9357698370492893,0.58775,0.84745
6,1,8,0.3250905501343807,0.99855,3.1481
6,0,8,0.9406820837026735,0.5854,0.8468
6,1,9,0.32254221126480365,0.99815,3.14185
6,0,9,0.932080488445036,0.585,0.83925
6,1,10,0.3187860294547014,0.99835,3.1391
6,0,10,0.9365892138614764,0.58375,0.84235
6,1,11,0.32638595445843355,0.99835,3.14385
6,0,11,0.9350873740255613,0.5872,0.84805
6,1,12,0.32735058623176666,0.9983,3.12205
6,0,12,0.9419135267294095,0.5818,0.8347
6,1,13,0.32429110514953663,0.99895,3.1534
6,0,13,0.9259621546648666,0.58895,0.84145
6,1,14,0.3281610924347306,0.99835,3.15015
6,0,14,0.9245827867495794,0.58865,0.8436
6,1,15,0.4857723404413529,0.9904,3.1491
6,0,15,0.9210873065595936,0.59485,0.8545
6,1,16,0.32894415621561884,0.99825,3.1506
6,0,16,0.9284602096016039,0.58965,0.8472
6,1,17,0.32288801716712,0.99845,3.14775
6,0,17,0.9384675021913829,0.5874,0.8431
6,1,18,0.33439221270024,0.99805,3.15105
6,0,18,0.930132524195756,0.5923,0.85375
6,1,19,0.3327704925122776,0.99835,3.1422
6,0,19,0.940093696511692,0.58965,0.8479
6,1,20,0.4823878254026507,0.9895,3.1457
6,0,20,0.921641889621875,0.58505,0.8396
6,1,21,0.326147875589381,0.99815,3.1329
6,0,21,0.9401724355667499,0.58705,0.8432
6,1,22,0.3259962108793069,0.99855,3.1485
6,0,22,0.9339963393394821,0.58865,0.8461
6,1,23,0.4816702407312027,0.99065,3.13575
6,0,23,0.9298368215437559,0.5895,0.84925
6,1,24,0.3207594062492419,0.9986,3.14775
6,0,24,0.9423512916426089,0.58505,0.8433
6,1,25,0.47309051728964285,0.99025,3.14895
6,0,25,0.9480846852206336,0.58795,0.84755
6,1,26,0.3296607423643158,0.99855,3.13465
6,0,26,0.9239295514533724,0.5899,0.8471
6,1,27,0.33052446273107305,0.99815,3.15
6,0,27,0.9419174524848085,0.585,0.84125
6,1,28,0.32443996162794747,0.9984,3.134
6,0,28,0.9108076736300805,0.59205,0.84355
6,1,29,0.3207292522900672,0.9982,3.13885
6,0,29,0.9243256455331683,0.58635,0.841
6,1,30,0.328187113858537,0.9982,3.1469
6,0,30,0.9329268290686722,0.58615,0.84005
7,1,1,0.3017197178148694,0.99965,4.0416
7,0,1,0.9343793458268798,0.64165,0.9814
7,1,2,0.30691620540912434,0.99985,4.0484
7,0,2,0.9224830165649017,0.6446,0.9834
7,1,3,0.300368307211619,0.9997,4.03035
7,0,3,0.9185480832113821,0.64625,0.98455
7,1,4,0.3092876311634968,0.99975,4.0484
7,0,4,0.9293711463435189,0.64535,0.98925
7,1,5,0.3528915170000046,0.9989,3.27805
7,0,5,0.9306143211672547,0.64945,0.9907
7,1,6,0.35238794739126744,0.9985,3.2775
7,0,6,0.9277699342242292,0.64435,0.98245
7,1,7,0.35232447287934976,0.99905,3.2844
7,0,7,0.9340756418797286,0.64665,0.9935
7,1,8,0.3531815380750473,0.9985,3.2859
7,0,8,0.9369406266940632,0.6444,0.9903
7,1,9,0.303109355039603,0.99965,4.04065
7,0,9,0.9468362400694513,0.6386,0.97845
7,1,10,0.30373100359882294,0.99975,4.0273
7,0,10,0.926130753629909,0.6465,0.98615
7,1,11,0.30923254435113234,0.9998,4.0339
7,0,11,0.9289208569616633,0.6458,0.99095
7,1,12,0.30544269077249603,0.99985,4.0498
7,0,12,0.9350448274842175,0.6389,0.97285
7,1,13,0.2979851568386607,0.99985,4.04145
7,0,13,0.932017110940392,0.6445,0.98415
7,1,14,0.3094520337591617,0.9997,4.0502
7,0,14,0.9333744527011243,0.6444,0.98555
7,1,15,0.43127675765574586,0.99985,5.5903
7,0,15,0.9209420370767911,0.65055,0.9975
7,1,16,0.3051055321266026,0.9997,4.0419
7,0,16,0.9339291217858513,0.6442,0.98935
7,1,17,0.357663020658436,0.99865,3.29255
7,0,17,0.937914312475628,0.6442,0.9821
7,1,18,0.3061147624611753,1.0,4.0495
